Temperature,Top P,Top K,BM25 Weight,Extracted Concepts
0.1,0.95,50,0.6,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Autonomy (Autonomie) [#800000], Justice (Justice) [#B22222], Virtue (Vertu) [#000000], Natural Compassion (Pitié Naturelle) [#8B008B], Moral Equality (Égalité Morale) [#C71585], Public Good (Bien Commun) [#228B22], Self-Preservation (Conservation de Soi) [#FF6347], Moral Education (Éducation Morale) [#D2691E]"
0.33,0.95,50,0.6,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Autonomy of the Will (Autonomie de la Volonté) [#800000], Natural Compassion (Pitié Naturelle) [#8B008B], Justice (Justice) [#B22222], Virtue (Vertu) [#000000], Public Opinion (Opinion Publique) [#006400], Legitimacy of Laws (Légitimité des Lois) [#6A5ACD], Moral Equality (Égalité Morale) [#C71585], Moral Education (Éducation Morale) [#D2691E]"
0.55,0.95,50,0.6,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Natural Law (Droit Naturel) [#FF4500], Social Contract (Contrat Social) [#483D8B], Autonomy (Autonomie) [#800000], Justice (Justice) [#B22222], Virtue (Vertu) [#000000], Public Opinion (Opinion Publique) [#006400], Equality (Égalité) [#C71585], Duty (Devoir) [#556B2F]"
0.78,0.95,50,0.6,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Natural Compassion (Pitié Naturelle) [#8B008B], Social Contract (Contrat Social) [#483D8B], Autonomy (Autonomie) [#800000], Justice (Justice) [#B22222], Virtue (Vertu) [#000000], Moral Equality (Égalité Morale) [#C71585], Public Opinion (Opinion Publique) [#006400], Moral Person (Personne Morale) [#D2691E]"
1.0,0.95,50,0.6,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Natural Law (Droit Naturel) [#FF4500], Compassion (Pitié) [#8B008B], Social Contract (Contrat Social) [#483D8B], Justice (Justice) [#B22222], Virtue (Vertu) [#000000], Corruption (Corruption) [#FFD700], Equality (Égalité) [#C71585], Punishment (Punition) [#708090]"
0.5,0.1,50,0.6,"General Will [#20B2AA], Moral Liberty [#FF8C00], Civil Liberty [#FF8C00], Justice [#B22222], Duty [#556B2F], Virtue [#000000], Equality [#C71585], Consent [#9932CC], Public Good [#228B22], Moral Person [#D2691E]"
0.5,0.32,50,0.6,"General Will [#20B2AA], Moral Liberty [#FF8C00], Justice [#B22222], Virtue [#000000], Public Opinion [#006400], Duty [#556B2F], Equality [#C71585], Consent [#9932CC], Law [#FF4500], Autonomy [#800000]"
0.5,0.55,50,0.6,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Natural Compassion (Pitié Naturelle) [#8B008B], Social Contract (Contrat Social) [#483D8B], Justice (Justice) [#B22222], Virtue (Vertu) [#000000], Moral Equality (Égalité Morale) [#C71585], Public Opinion (Opinion Publique) [#006400], Moral Education (Éducation Morale) [#D2691E], Moral Degradation (Dégénérescence Morale) [#D2691E]"
0.5,0.77,50,0.6,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Natural Compassion (Pitié Naturelle) [#8B008B], Social Contract (Contrat Social) [#483D8B], Justice (Justice) [#B22222], Virtue (Vertu) [#000000], Public Opinion (Opinion Publique) [#006400], Equality (Égalité) [#C71585], Duty (Devoir) [#556B2F], Autonomy (Autonomie) [#800000]"
0.5,0.99,50,0.6,"General Will (Volonté Générale) [#20B2AA], Moral Liberty (Liberté Morale) [#FF8C00], Justice (Justice) [#B22222], Virtue (Vertu) [#000000], Equality (Égalité) [#C71585], Compulsion to Be Free (Forcer d'Être Libre) [#A0522D], Public Opinion (Opinion Publique) [#006400], Social Contract (Contrat Social) [#483D8B], Moral Person (Personne Morale) [#D2691E], Autonomy (Autonomie) [#800000]"
